"fdc_id","food_code","wweia_category_code","start_date","end_date"
"781082","11000000","9602","2015-01-01","2016-12-31"
"781083","11100000","1004","2015-01-01","2016-12-31"
"781084","11111000","1002","2015-01-01","2016-12-31"
"781085","11111100","1002","2015-01-01","2016-12-31"
"781086","11111150","1002","2015-01-01","2016-12-31"
"781087","11111160","1006","2015-01-01","2016-12-31"
"781088","11111170","1008","2015-01-01","2016-12-31"
"781089","11112110","1004","2015-01-01","2016-12-31"
"781090","11112120","1006","2015-01-01","2016-12-31"
"781091","11112130","1004","2015-01-01","2016-12-31"
"781092","11112210","1006","2015-01-01","2016-12-31"
"781093","11113000","1008","2015-01-01","2016-12-31"
"781094","11114300","1006","2015-01-01","2016-12-31"
"781095","11114320","1008","2015-01-01","2016-12-31"
"781096","11114330","1004","2015-01-01","2016-12-31"
"781097","11114350","1002","2015-01-01","2016-12-31"
"781098","11115000","1008","2015-01-01","2016-12-31"
"781099","11115100","1006","2015-01-01","2016-12-31"
"781100","11115200","1004","2015-01-01","2016-12-31"
"781101","11115300","1002","2015-01-01","2016-12-31"
"781102","11115400","1006","2015-01-01","2016-12-31"
"781103","11116000","1002","2015-01-01","2016-12-31"
"781104","11120000","1008","2015-01-01","2016-12-31"
"781105","11121100","1002","2015-01-01","2016-12-31"
"781106","11121210","1006","2015-01-01","2016-12-31"
"781107","11121300","1008","2015-01-01","2016-12-31"
"781108","11210050","1002","2015-01-01","2016-12-31"
"781109","11211050","1002","2015-01-01","2016-12-31"
"781110","11211400","1004","2015-01-01","2016-12-31"
"781111","11212050","1008","2015-01-01","2016-12-31"
"781112","11220000","1202","2015-01-01","2016-12-31"
"781113","11300100","1404","2015-01-01","2016-12-31"
"781114","11320000","1404","2015-01-01","2016-12-31"
"781115","11320100","1404","2015-01-01","2016-12-31"
"781116","11320200","1404","2015-01-01","2016-12-31"
"781117","11321000","1404","2015-01-01","2016-12-31"
"781118","11321100","1404","2015-01-01","2016-12-31"
"781119","11321200","1404","2015-01-01","2016-12-31"
"781120","11340000","1404","2015-01-01","2016-12-31"
"781121","11350000","1404","2015-01-01","2016-12-31"
"781122","11350010","1404","2015-01-01","2016-12-31"
"781123","11350020","1404","2015-01-01","2016-12-31"
"781124","11350030","1404","2015-01-01","2016-12-31"
"781125","11360000","1404","2015-01-01","2016-12-31"
"781126","11370000","1404","2015-01-01","2016-12-31"
"781127","11400000","1820","2015-01-01","2016-12-31"
"781128","11400010","1822","2015-01-01","2016-12-31"
"781129","11410000","1820","2015-01-01","2016-12-31"
"781130","11411010","1820","2015-01-01","2016-12-31"
"781131","11411100","1820","2015-01-01","2016-12-31"
"781132","11411200","1820","2015-01-01","2016-12-31"
"781133","11411300","1820","2015-01-01","2016-12-31"
"781134","11411390","1822","2015-01-01","2016-12-31"
"781135","11411400","1822","2015-01-01","2016-12-31"
"781136","11411410","1822","2015-01-01","2016-12-31"
"781137","11411420","1822","2015-01-01","2016-12-31"
"781138","11430000","1820","2015-01-01","2016-12-31"
"781139","11431000","1820","2015-01-01","2016-12-31"
"781140","11432000","1820","2015-01-01","2016-12-31"
"781141","11433000","1820","2015-01-01","2016-12-31"
"781142","11433990","1822","2015-01-01","2016-12-31"
"781143","11434000","1822","2015-01-01","2016-12-31"
"781144","11434010","1822","2015-01-01","2016-12-31"
"781145","11434020","1822","2015-01-01","2016-12-31"
"781146","11434090","1820","2015-01-01","2016-12-31"
"781147","11434100","1820","2015-01-01","2016-12-31"
"781148","11434200","1820","2015-01-01","2016-12-31"
"781149","11434300","1820","2015-01-01","2016-12-31"
"781150","11435000","1822","2015-01-01","2016-12-31"
"781151","11435010","1822","2015-01-01","2016-12-31"
"781152","11435020","1822","2015-01-01","2016-12-31"
"781153","11435030","1822","2015-01-01","2016-12-31"
"781154","11435100","1822","2015-01-01","2016-12-31"
"781155","11436000","1820","2015-01-01","2016-12-31"
"781156","11440010","8412","2015-01-01","2016-12-31"
"781157","11440020","8412","2015-01-01","2016-12-31"
"781158","11440030","8412","2015-01-01","2016-12-31"
"781159","11440040","8412","2015-01-01","2016-12-31"
"781160","11440050","8412","2015-01-01","2016-12-31"
"781161","11440060","8412","2015-01-01","2016-12-31"
"781162","11440070","8412","2015-01-01","2016-12-31"
"781163","11446000","1820","2015-01-01","2016-12-31"
"781164","11459990","5802","2015-01-01","2016-12-31"
"781165","11460000","5802","2015-01-01","2016-12-31"
"781166","11460100","5802","2015-01-01","2016-12-31"
"781167","11460150","5802","2015-01-01","2016-12-31"
"781168","11460160","5802","2015-01-01","2016-12-31"
"781169","11460170","5802","2015-01-01","2016-12-31"
"781170","11460190","5802","2015-01-01","2016-12-31"
"781171","11460200","5802","2015-01-01","2016-12-31"
"781172","11460250","5802","2015-01-01","2016-12-31"
"781173","11460300","5802","2015-01-01","2016-12-31"
"781174","11460400","5802","2015-01-01","2016-12-31"
"781175","11460410","5802","2015-01-01","2016-12-31"
"781176","11460420","5802","2015-01-01","2016-12-31"
"781177","11460430","5802","2015-01-01","2016-12-31"
"781178","11460440","5802","2015-01-01","2016-12-31"
"781179","11461000","5802","2015-01-01","2016-12-31"
"781180","11461200","5802","2015-01-01","2016-12-31"
"781181","11461250","5802","2015-01-01","2016-12-31"
"781182","11461260","5802","2015-01-01","2016-12-31"
"781183","11461270","5802","2015-01-01","2016-12-31"
"781184","11461280","5802","2015-01-01","2016-12-31"
"781185","11480010","9010","2015-01-01","2016-12-31"
"781186","11480020","9010","2015-01-01","2016-12-31"
"781187","11480030","9010","2015-01-01","2016-12-31"
"781188","11480040","9010","2015-01-01","2016-12-31"
"781189","11511000","1208","2015-01-01","2016-12-31"
"781190","11511100","1202","2015-01-01","2016-12-31"
"781191","11511200","1204","2015-01-01","2016-12-31"
"781192","11511300","1208","2015-01-01","2016-12-31"
"781193","11511400","1206","2015-01-01","2016-12-31"
"781194","11511550","1206","2015-01-01","2016-12-31"
"781195","11511600","1206","2015-01-01","2016-12-31"
"781196","11511610","1208","2015-01-01","2016-12-31"
"781197","11511700","1206","2015-01-01","2016-12-31"
"781198","11512010","1204","2015-01-01","2016-12-31"
"781199","11512020","1208","2015-01-01","2016-12-31"
"781200","11512030","1404","2015-01-01","2016-12-31"
"781201","11512100","1204","2015-01-01","2016-12-31"
"781202","11512110","1208","2015-01-01","2016-12-31"
"781203","11512120","1404","2015-01-01","2016-12-31"
"781204","11513000","1204","2015-01-01","2016-12-31"
"781205","11513100","1202","2015-01-01","2016-12-31"
"781206","11513150","1204","2015-01-01","2016-12-31"
"781207","11513200","1206","2015-01-01","2016-12-31"
"781208","11513300","1208","2015-01-01","2016-12-31"
"781209","11513310","1404","2015-01-01","2016-12-31"
"781210","11513350","1204","2015-01-01","2016-12-31"
"781211","11513355","1202","2015-01-01","2016-12-31"
"781212","11513360","1204","2015-01-01","2016-12-31"
"781213","11513365","1206","2015-01-01","2016-12-31"
"781214","11513370","1208","2015-01-01","2016-12-31"
"781215","11513375","1404","2015-01-01","2016-12-31"
"781216","11513380","1204","2015-01-01","2016-12-31"
"781217","11513381","1202","2015-01-01","2016-12-31"
"781218","11513382","1204","2015-01-01","2016-12-31"
"781219","11513383","1206","2015-01-01","2016-12-31"
"781220","11513384","1208","2015-01-01","2016-12-31"
"781221","11513385","1404","2015-01-01","2016-12-31"
"781222","11513390","1204","2015-01-01","2016-12-31"
"781223","11513391","1202","2015-01-01","2016-12-31"
"781224","11513392","1204","2015-01-01","2016-12-31"
"781225","11513393","1206","2015-01-01","2016-12-31"
"781226","11513394","1208","2015-01-01","2016-12-31"
"781227","11513395","1404","2015-01-01","2016-12-31"
"781228","11513400","1204","2015-01-01","2016-12-31"
"781229","11513500","1202","2015-01-01","2016-12-31"
"781230","11513550","1204","2015-01-01","2016-12-31"
"781231","11513600","1206","2015-01-01","2016-12-31"
"781232","11513700","1208","2015-01-01","2016-12-31"
"781233","11513750","1404","2015-01-01","2016-12-31"
"781234","11513800","1204","2015-01-01","2016-12-31"
"781235","11513801","1202","2015-01-01","2016-12-31"
"781236","11513802","1204","2015-01-01","2016-12-31"
"781237","11513803","1206","2015-01-01","2016-12-31"
"781238","11513804","1208","2015-01-01","2016-12-31"
"781239","11513805","1404","2015-01-01","2016-12-31"
"781240","11513850","1204","2015-01-01","2016-12-31"
"781241","11513851","1202","2015-01-01","2016-12-31"
"781242","11513852","1204","2015-01-01","2016-12-31"
"781243","11513853","1206","2015-01-01","2016-12-31"
"781244","11513854","1208","2015-01-01","2016-12-31"
"781245","11513855","1404","2015-01-01","2016-12-31"
"781246","11514100","1208","2015-01-01","2016-12-31"
"781247","11514110","1202","2015-01-01","2016-12-31"
"781248","11514120","1204","2015-01-01","2016-12-31"
"781249","11514130","1206","2015-01-01","2016-12-31"
"781250","11514140","1208","2015-01-01","2016-12-31"
"781251","11514150","1404","2015-01-01","2016-12-31"
"781252","11514310","1208","2015-01-01","2016-12-31"
"781253","11514320","1202","2015-01-01","2016-12-31"
"781254","11514330","1204","2015-01-01","2016-12-31"
"781255","11514340","1206","2015-01-01","2016-12-31"
"781256","11514350","1208","2015-01-01","2016-12-31"
"781257","11514360","1404","2015-01-01","2016-12-31"
"781258","11519040","1204","2015-01-01","2016-12-31"
"781259","11519050","1202","2015-01-01","2016-12-31"
"781260","11519105","1204","2015-01-01","2016-12-31"
"781261","11519200","1206","2015-01-01","2016-12-31"
"781262","11519205","1208","2015-01-01","2016-12-31"
"781263","11519215","1404","2015-01-01","2016-12-31"
"781264","11526000","1204","2015-01-01","2016-12-31"
"781265","11531000","1402","2015-01-01","2016-12-31"
"781266","11531500","1402","2015-01-01","2016-12-31"
"781267","11541110","1402","2015-01-01","2016-12-31"
"781268","11541120","1402","2015-01-01","2016-12-31"
"781269","11541130","1402","2015-01-01","2016-12-31"
"781270","11541135","1402","2015-01-01","2016-12-31"
"781271","11541400","1402","2015-01-01","2016-12-31"
"781272","11542100","1402","2015-01-01","2016-12-31"
"781273","11542200","1402","2015-01-01","2016-12-31"
"781274","11543000","1402","2015-01-01","2016-12-31"
"781275","11543010","1402","2015-01-01","2016-12-31"
"781276","11551050","7220","2015-01-01","2016-12-31"
"781277","11553100","7220","2015-01-01","2016-12-31"
"781278","11553110","7220","2015-01-01","2016-12-31"
"781279","11553120","7220","2015-01-01","2016-12-31"
"781280","11553130","7220","2015-01-01","2016-12-31"
"781281","11560000","1402","2015-01-01","2016-12-31"
"781282","11710000","9402","2015-01-01","2016-12-31"
"781283","11710050","9402","2015-01-01","2016-12-31"
"781284","11710051","9402","2015-01-01","2016-12-31"
"781285","11710053","9404","2015-01-01","2016-12-31"
"781286","11710054","9404","2015-01-01","2016-12-31"
"781287","11710055","9404","2015-01-01","2016-12-31"
"781288","11710056","9404","2015-01-01","2016-12-31"
"781289","11710350","9402","2015-01-01","2016-12-31"
"781290","11710351","9402","2015-01-01","2016-12-31"
"781291","11710352","9406","2015-01-01","2016-12-31"
"781292","11710353","9404","2015-01-01","2016-12-31"
"781293","11710354","9406","2015-01-01","2016-12-31"
"781294","11710355","9406","2015-01-01","2016-12-31"
"781295","11710356","9406","2015-01-01","2016-12-31"
"781296","11710357","9404","2015-01-01","2016-12-31"
"781297","11710358","9404","2015-01-01","2016-12-31"
"781298","11710359","9404","2015-01-01","2016-12-31"
"781299","11710360","9402","2015-01-01","2016-12-31"
"781300","11710361","9402","2015-01-01","2016-12-31"
"781301","11710363","9404","2015-01-01","2016-12-31"
"781302","11710367","9404","2015-01-01","2016-12-31"
"781303","11710368","9404","2015-01-01","2016-12-31"
"781304","11710369","9404","2015-01-01","2016-12-31"
"781305","11710370","9402","2015-01-01","2016-12-31"
"781306","11710371","9402","2015-01-01","2016-12-31"
"781307","11710372","9406","2015-01-01","2016-12-31"
"781308","11710373","9404","2015-01-01","2016-12-31"
"781309","11710374","9406","2015-01-01","2016-12-31"
"781310","11710375","9406","2015-01-01","2016-12-31"
"781311","11710376","9406","2015-01-01","2016-12-31"
"781312","11710377","9404","2015-01-01","2016-12-31"
"781313","11710378","9404","2015-01-01","2016-12-31"
"781314","11710379","9404","2015-01-01","2016-12-31"
"781315","11710380","9402","2015-01-01","2016-12-31"
"781316","11710381","9402","2015-01-01","2016-12-31"
"781317","11710383","9404","2015-01-01","2016-12-31"
"781318","11710470","9402","2015-01-01","2016-12-31"
"781319","11710471","9402","2015-01-01","2016-12-31"
"781320","11710473","9404","2015-01-01","2016-12-31"
"781321","11710477","9404","2015-01-01","2016-12-31"
"781322","11710478","9404","2015-01-01","2016-12-31"
"781323","11710479","9404","2015-01-01","2016-12-31"
"781324","11710480","9402","2015-01-01","2016-12-31"
"781325","11710481","9404","2015-01-01","2016-12-31"
"781326","11710620","9402","2015-01-01","2016-12-31"
"781327","11710621","9402","2015-01-01","2016-12-31"
"781328","11710626","9404","2015-01-01","2016-12-31"
"781329","11710627","9404","2015-01-01","2016-12-31"
"781330","11710628","9404","2015-01-01","2016-12-31"
"781331","11710629","9404","2015-01-01","2016-12-31"
"781332","11710630","9402","2015-01-01","2016-12-31"
"781333","11710631","9402","2015-01-01","2016-12-31"
"781334","11710632","9406","2015-01-01","2016-12-31"
"781335","11710633","9406","2015-01-01","2016-12-31"
"781336","11710634","9406","2015-01-01","2016-12-31"
"781337","11710635","9406","2015-01-01","2016-12-31"
"781338","11710636","9404","2015-01-01","2016-12-31"
"781339","11710637","9404","2015-01-01","2016-12-31"
